# ŦаƄȴℯ τᴏ ¢օƞνеɼȶ սηіҫօɗе ƈᴑȡe ρoɨոƭʂ ȶဝ ʈɦℯⅈг ɳeẚɼℯѕŧ ᗅЅСƗІ homoglyph
# Copyright (c) 2011 Cristian Martinez <me-at-martinec.org>
#
# This data is released under the LGPLLR license. You can use it in commercial
# and non-commercial code with attribution. See http://spdx.org/licenses/LGPLLR
#
# Note:
# The rules to convert accented characters to their unaccented version are
# omitted. Unaccented characters can be obtained by removing the Combining
# Diacritical Marks from canonical mappings containg two-codepoints in the
# form <unaccented character> <combining diacritical mark>
#
# Format:
# <code point>;<normalization>;(glyph) (normalization);(glyph name) (normalization)
13F3;0047;(Ᏻ) (G);(CHEROKEE LETTER YU) (LATIN CAPITAL LETTER G)
1D33;0047;(ᴳ) (G);(MODIFIER LETTER CAPITAL G) (LATIN CAPITAL LETTER G)
1D406;0047;(𝐆) (G);(MATHEMATICAL BOLD CAPITAL G) (LATIN CAPITAL LETTER G)
1D43A;0047;(𝐺) (G);(MATHEMATICAL ITALIC CAPITAL G) (LATIN CAPITAL LETTER G)
1D46E;0047;(𝑮) (G);(MATHEMATICAL BOLD ITALIC CAPITAL G) (LATIN CAPITAL LETTER G)
1D4A2;0047;(𝒢) (G);(MATHEMATICAL SCRIPT CAPITAL G) (LATIN CAPITAL LETTER G)
1D4D6;0047;(𝓖) (G);(MATHEMATICAL BOLD SCRIPT CAPITAL G) (LATIN CAPITAL LETTER G)
1D50A;0047;(𝔊) (G);(MATHEMATICAL FRAKTUR CAPITAL G) (LATIN CAPITAL LETTER G)
1D53E;0047;(𝔾) (G);(MATHEMATICAL DOUBLE-STRUCK CAPITAL G) (LATIN CAPITAL LETTER G)
1D572;0047;(𝕲) (G);(MATHEMATICAL BOLD FRAKTUR CAPITAL G) (LATIN CAPITAL LETTER G)
1D5A6;0047;(𝖦) (G);(MATHEMATICAL SANS-SERIF CAPITAL G) (LATIN CAPITAL LETTER G)
1D5DA;0047;(𝗚) (G);(MATHEMATICAL SANS-SERIF BOLD CAPITAL G) (LATIN CAPITAL LETTER G)
1D60E;0047;(𝘎) (G);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL G) (LATIN CAPITAL LETTER G)
1D642;0047;(𝙂) (G);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL G) (LATIN CAPITAL LETTER G)
1D676;0047;(𝙶) (G);(MATHEMATICAL MONOSPACE CAPITAL G) (LATIN CAPITAL LETTER G)
24BC;0047;(Ⓖ) (G);(CIRCLED LATIN CAPITAL LETTER G) (LATIN CAPITAL LETTER G)
3387;0047 0042;(㎇) (GB);(SQUARE GB) (LATIN CAPITAL LETTER G  LATIN CAPITAL LETTER B)
3393;0047 0048 007A;(㎓) (GHz);(SQUARE GHZ) (LATIN CAPITAL LETTER G  LATIN CAPITAL LETTER H  LATIN SMALL LETTER Z)
33AC;0047 0050 0061;(㎬) (GPa);(SQUARE GPA) (LATIN CAPITAL LETTER G  LATIN CAPITAL LETTER P  LATIN SMALL LETTER A)
33C9;0047 0079;(㏉) (Gy);(SQUARE GY) (LATIN CAPITAL LETTER G  LATIN SMALL LETTER Y)
A4D6;0047;(ꓖ) (G);(LISU LETTER GA) (LATIN CAPITAL LETTER G)
FF27;0047;(Ｇ) (G);(FULLWIDTH LATIN CAPITAL LETTER G) (LATIN CAPITAL LETTER G)
0126;0048;(Ħ) (H);(LATIN CAPITAL LETTER H WITH STROKE) (LATIN CAPITAL LETTER H)
0397;0048;(Η) (H);(GREEK CAPITAL LETTER ETA) (LATIN CAPITAL LETTER H)
041D;0048;(Н) (H);(CYRILLIC CAPITAL LETTER EN) (LATIN CAPITAL LETTER H)
04A2;0048;(Ң) (H);(CYRILLIC CAPITAL LETTER EN WITH DESCENDER) (LATIN CAPITAL LETTER H)
04C7;0048;(Ӈ) (H);(CYRILLIC CAPITAL LETTER EN WITH HOOK) (LATIN CAPITAL LETTER H)
04C9;0048;(Ӊ) (H);(CYRILLIC CAPITAL LETTER EN WITH TAIL) (LATIN CAPITAL LETTER H)
13BB;0048;(Ꮋ) (H);(CHEROKEE LETTER MI) (LATIN CAPITAL LETTER H)
157C;0048;(ᕼ) (H);(CANADIAN SYLLABICS NUNAVUT H) (LATIN CAPITAL LETTER H)
1D34;0048;(ᴴ) (H);(MODIFIER LETTER CAPITAL H) (LATIN CAPITAL LETTER H)
1D407;0048;(𝐇) (H);(MATHEMATICAL BOLD CAPITAL H) (LATIN CAPITAL LETTER H)
1D43B;0048;(𝐻) (H);(MATHEMATICAL ITALIC CAPITAL H) (LATIN CAPITAL LETTER H)
1D46F;0048;(𝑯) (H);(MATHEMATICAL BOLD ITALIC CAPITAL H) (LATIN CAPITAL LETTER H)
1D4D7;0048;(𝓗) (H);(MATHEMATICAL BOLD SCRIPT CAPITAL H) (LATIN CAPITAL LETTER H)
1D573;0048;(𝕳) (H);(MATHEMATICAL BOLD FRAKTUR CAPITAL H) (LATIN CAPITAL LETTER H)
1D5A7;0048;(𝖧) (H);(MATHEMATICAL SANS-SERIF CAPITAL H) (LATIN CAPITAL LETTER H)
1D5DB;0048;(𝗛) (H);(MATHEMATICAL SANS-SERIF BOLD CAPITAL H) (LATIN CAPITAL LETTER H)
1D60F;0048;(𝘏) (H);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL H) (LATIN CAPITAL LETTER H)
1D643;0048;(𝙃) (H);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL H) (LATIN CAPITAL LETTER H)
1D677;0048;(𝙷) (H);(MATHEMATICAL MONOSPACE CAPITAL H) (LATIN CAPITAL LETTER H)
1D6AE;0048;(𝚮) (H);(MATHEMATICAL BOLD CAPITAL ETA) (LATIN CAPITAL LETTER H)
1D6E8;0048;(𝛨) (H);(MATHEMATICAL ITALIC CAPITAL ETA) (LATIN CAPITAL LETTER H)
1D722;0048;(𝜢) (H);(MATHEMATICAL BOLD ITALIC CAPITAL ETA) (LATIN CAPITAL LETTER H)
1D75C;0048;(𝝜) (H);(MATHEMATICAL SANS-SERIF BOLD CAPITAL ETA) (LATIN CAPITAL LETTER H)
1D796;0048;(𝞖) (H);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL ETA) (LATIN CAPITAL LETTER H)
210B;0048;(ℋ) (H);(SCRIPT CAPITAL H) (LATIN CAPITAL LETTER H)
210C;0048;(ℌ) (H);(BLACK-LETTER CAPITAL H) (LATIN CAPITAL LETTER H)
210D;0048;(ℍ) (H);(DOUBLE-STRUCK CAPITAL H) (LATIN CAPITAL LETTER H)
24BD;0048;(Ⓗ) (H);(CIRCLED LATIN CAPITAL LETTER H) (LATIN CAPITAL LETTER H)
2C67;0048;(Ⱨ) (H);(LATIN CAPITAL LETTER H WITH DESCENDER) (LATIN CAPITAL LETTER H)
2C8E;0048;(Ⲏ) (H);(COPTIC CAPITAL LETTER HATE) (LATIN CAPITAL LETTER H)
32CC;0048 0067;(㋌) (Hg);(SQUARE HG) (LATIN CAPITAL LETTER H  LATIN SMALL LETTER G)
3390;0048 007A;(㎐) (Hz);(SQUARE HZ) (LATIN CAPITAL LETTER H  LATIN SMALL LETTER Z)
33CB;0048 0050;(㏋) (HP);(SQUARE HP) (LATIN CAPITAL LETTER H  LATIN CAPITAL LETTER P)
A4E7;0048;(ꓧ) (H);(LISU LETTER XA) (LATIN CAPITAL LETTER H)
FF28;0048;(Ｈ) (H);(FULLWIDTH LATIN CAPITAL LETTER H) (LATIN CAPITAL LETTER H)
0132;0049 004A;(Ĳ) (IJ);(LATIN CAPITAL LIGATURE IJ) (LATIN CAPITAL LETTER I  LATIN CAPITAL LETTER J)
0197;0049;(Ɨ) (I);(LATIN CAPITAL LETTER I WITH STROKE) (LATIN CAPITAL LETTER I)
01C1;0049 0049;(ǁ) (II);(LATIN LETTER LATERAL CLICK) (LATIN CAPITAL LETTER I  LATIN CAPITAL LETTER I)
0399;0049;(Ι) (I);(GREEK CAPITAL LETTER IOTA) (LATIN CAPITAL LETTER I)
0406;0049;(І) (I);(CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I) (LATIN CAPITAL LETTER I)
04C0;0049;(Ӏ) (I);(CYRILLIC LETTER PALOCHKA) (LATIN CAPITAL LETTER I)
1D35;0049;(ᴵ) (I);(MODIFIER LETTER CAPITAL I) (LATIN CAPITAL LETTER I)
1D408;0049;(𝐈) (I);(MATHEMATICAL BOLD CAPITAL I) (LATIN CAPITAL LETTER I)
1D43C;0049;(𝐼) (I);(MATHEMATICAL ITALIC CAPITAL I) (LATIN CAPITAL LETTER I)
1D470;0049;(𝑰) (I);(MATHEMATICAL BOLD ITALIC CAPITAL I) (LATIN CAPITAL LETTER I)
1D4D8;0049;(𝓘) (I);(MATHEMATICAL BOLD SCRIPT CAPITAL I) (LATIN CAPITAL LETTER I)
1D540;0049;(𝕀) (I);(MATHEMATICAL DOUBLE-STRUCK CAPITAL I) (LATIN CAPITAL LETTER I)
1D574;0049;(𝕴) (I);(MATHEMATICAL BOLD FRAKTUR CAPITAL I) (LATIN CAPITAL LETTER I)
1D5A8;0049;(𝖨) (I);(MATHEMATICAL SANS-SERIF CAPITAL I) (LATIN CAPITAL LETTER I)
1D5DC;0049;(𝗜) (I);(MATHEMATICAL SANS-SERIF BOLD CAPITAL I) (LATIN CAPITAL LETTER I)
1D610;0049;(𝘐) (I);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL I) (LATIN CAPITAL LETTER I)
1D644;0049;(𝙄) (I);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL I) (LATIN CAPITAL LETTER I)
1D678;0049;(𝙸) (I);(MATHEMATICAL MONOSPACE CAPITAL I) (LATIN CAPITAL LETTER I)
1D6B0;0049;(𝚰) (I);(MATHEMATICAL BOLD CAPITAL IOTA) (LATIN CAPITAL LETTER I)
1D6EA;0049;(𝛪) (I);(MATHEMATICAL ITALIC CAPITAL IOTA) (LATIN CAPITAL LETTER I)
1D724;0049;(𝜤) (I);(MATHEMATICAL BOLD ITALIC CAPITAL IOTA) (LATIN CAPITAL LETTER I)
1D75E;0049;(𝝞) (I);(MATHEMATICAL SANS-SERIF BOLD CAPITAL IOTA) (LATIN CAPITAL LETTER I)
1D798;0049;(𝞘) (I);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL IOTA) (LATIN CAPITAL LETTER I)
2016;0049 0049;(‖) (II);(DOUBLE VERTICAL LINE) (LATIN CAPITAL LETTER I  LATIN CAPITAL LETTER I)
2110;0049;(ℐ) (I);(SCRIPT CAPITAL I) (LATIN CAPITAL LETTER I)
2111;0049;(ℑ) (I);(BLACK-LETTER CAPITAL I) (LATIN CAPITAL LETTER I)
2160;0049;(Ⅰ) (I);(ROMAN NUMERAL ONE) (LATIN CAPITAL LETTER I)
2161;0049 0049;(Ⅱ) (II);(ROMAN NUMERAL TWO) (LATIN CAPITAL LETTER I  LATIN CAPITAL LETTER I)
2162;0049 0049 0049;(Ⅲ) (III);(ROMAN NUMERAL THREE) (LATIN CAPITAL LETTER I  LATIN CAPITAL LETTER I  LATIN CAPITAL LETTER I)
2163;0049 0056;(Ⅳ) (IV);(ROMAN NUMERAL FOUR) (LATIN CAPITAL LETTER I  LATIN CAPITAL LETTER V)
2168;0049 0058;(Ⅸ) (IX);(ROMAN NUMERAL NINE) (LATIN CAPITAL LETTER I  LATIN CAPITAL LETTER X)
2225;0049 0049;(∥) (II);(PARALLEL TO) (LATIN CAPITAL LETTER I  LATIN CAPITAL LETTER I)
24BE;0049;(Ⓘ) (I);(CIRCLED LATIN CAPITAL LETTER I) (LATIN CAPITAL LETTER I)
2C92;0049;(Ⲓ) (I);(COPTIC CAPITAL LETTER IAUDA) (LATIN CAPITAL LETTER I)
2D4F;0049;(ⵏ) (I);(TIFINAGH LETTER YAN) (LATIN CAPITAL LETTER I)
337A;0049 0055;(㍺) (IU);(SQUARE IU) (LATIN CAPITAL LETTER I  LATIN CAPITAL LETTER U)
FF29;0049;(Ｉ) (I);(FULLWIDTH LATIN CAPITAL LETTER I) (LATIN CAPITAL LETTER I)
0408;004A;(Ј) (J);(CYRILLIC CAPITAL LETTER JE) (LATIN CAPITAL LETTER J)
13AB;004A;(Ꭻ) (J);(CHEROKEE LETTER GU) (LATIN CAPITAL LETTER J)
148D;004A;(ᒍ) (J);(CANADIAN SYLLABICS CO) (LATIN CAPITAL LETTER J)
1498;004A;(ᒘ) (J);(CANADIAN SYLLABICS CWO) (LATIN CAPITAL LETTER J)
1499;004A;(ᒙ) (J);(CANADIAN SYLLABICS WEST-CREE CWO) (LATIN CAPITAL LETTER J)
1673;004A;(ᙳ) (J);(CANADIAN SYLLABICS NNGO) (LATIN CAPITAL LETTER J)
1D36;004A;(ᴶ) (J);(MODIFIER LETTER CAPITAL J) (LATIN CAPITAL LETTER J)
1D409;004A;(𝐉) (J);(MATHEMATICAL BOLD CAPITAL J) (LATIN CAPITAL LETTER J)
1D43D;004A;(𝐽) (J);(MATHEMATICAL ITALIC CAPITAL J) (LATIN CAPITAL LETTER J)
1D471;004A;(𝑱) (J);(MATHEMATICAL BOLD ITALIC CAPITAL J) (LATIN CAPITAL LETTER J)
1D4A5;004A;(𝒥) (J);(MATHEMATICAL SCRIPT CAPITAL J) (LATIN CAPITAL LETTER J)
1D4D9;004A;(𝓙) (J);(MATHEMATICAL BOLD SCRIPT CAPITAL J) (LATIN CAPITAL LETTER J)
1D50D;004A;(𝔍) (J);(MATHEMATICAL FRAKTUR CAPITAL J) (LATIN CAPITAL LETTER J)
1D541;004A;(𝕁) (J);(MATHEMATICAL DOUBLE-STRUCK CAPITAL J) (LATIN CAPITAL LETTER J)
1D575;004A;(𝕵) (J);(MATHEMATICAL BOLD FRAKTUR CAPITAL J) (LATIN CAPITAL LETTER J)
1D5A9;004A;(𝖩) (J);(MATHEMATICAL SANS-SERIF CAPITAL J) (LATIN CAPITAL LETTER J)
1D5DD;004A;(𝗝) (J);(MATHEMATICAL SANS-SERIF BOLD CAPITAL J) (LATIN CAPITAL LETTER J)
1D611;004A;(𝘑) (J);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL J) (LATIN CAPITAL LETTER J)
1D645;004A;(𝙅) (J);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL J) (LATIN CAPITAL LETTER J)
1D679;004A;(𝙹) (J);(MATHEMATICAL MONOSPACE CAPITAL J) (LATIN CAPITAL LETTER J)
24BF;004A;(Ⓙ) (J);(CIRCLED LATIN CAPITAL LETTER J) (LATIN CAPITAL LETTER J)
A4D9;004A;(ꓙ) (J);(LISU LETTER JA) (LATIN CAPITAL LETTER J)
FF2A;004A;(Ｊ) (J);(FULLWIDTH LATIN CAPITAL LETTER J) (LATIN CAPITAL LETTER J)
0198;004B;(Ƙ) (K);(LATIN CAPITAL LETTER K WITH HOOK) (LATIN CAPITAL LETTER K)
039A;004B;(Κ) (K);(GREEK CAPITAL LETTER KAPPA) (LATIN CAPITAL LETTER K)
041A;004B;(К) (K);(CYRILLIC CAPITAL LETTER KA) (LATIN CAPITAL LETTER K)
049A;004B;(Қ) (K);(CYRILLIC CAPITAL LETTER KA WITH DESCENDER) (LATIN CAPITAL LETTER K)
049E;004B;(Ҟ) (K);(CYRILLIC CAPITAL LETTER KA WITH STROKE) (LATIN CAPITAL LETTER K)
13E6;004B;(Ꮶ) (K);(CHEROKEE LETTER TSO) (LATIN CAPITAL LETTER K)
1D37;004B;(ᴷ) (K);(MODIFIER LETTER CAPITAL K) (LATIN CAPITAL LETTER K)
1D40A;004B;(𝐊) (K);(MATHEMATICAL BOLD CAPITAL K) (LATIN CAPITAL LETTER K)
1D43E;004B;(𝐾) (K);(MATHEMATICAL ITALIC CAPITAL K) (LATIN CAPITAL LETTER K)
1D472;004B;(𝑲) (K);(MATHEMATICAL BOLD ITALIC CAPITAL K) (LATIN CAPITAL LETTER K)
1D4A6;004B;(𝒦) (K);(MATHEMATICAL SCRIPT CAPITAL K) (LATIN CAPITAL LETTER K)
1D4DA;004B;(𝓚) (K);(MATHEMATICAL BOLD SCRIPT CAPITAL K) (LATIN CAPITAL LETTER K)
1D50E;004B;(𝔎) (K);(MATHEMATICAL FRAKTUR CAPITAL K) (LATIN CAPITAL LETTER K)
1D542;004B;(𝕂) (K);(MATHEMATICAL DOUBLE-STRUCK CAPITAL K) (LATIN CAPITAL LETTER K)
1D576;004B;(𝕶) (K);(MATHEMATICAL BOLD FRAKTUR CAPITAL K) (LATIN CAPITAL LETTER K)
1D5AA;004B;(𝖪) (K);(MATHEMATICAL SANS-SERIF CAPITAL K) (LATIN CAPITAL LETTER K)
1D5DE;004B;(𝗞) (K);(MATHEMATICAL SANS-SERIF BOLD CAPITAL K) (LATIN CAPITAL LETTER K)
1D612;004B;(𝘒) (K);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL K) (LATIN CAPITAL LETTER K)
1D646;004B;(𝙆) (K);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL K) (LATIN CAPITAL LETTER K)
1D67A;004B;(𝙺) (K);(MATHEMATICAL MONOSPACE CAPITAL K) (LATIN CAPITAL LETTER K)
1D6B1;004B;(𝚱) (K);(MATHEMATICAL BOLD CAPITAL KAPPA) (LATIN CAPITAL LETTER K)
1D6EB;004B;(𝛫) (K);(MATHEMATICAL ITALIC CAPITAL KAPPA) (LATIN CAPITAL LETTER K)
1D725;004B;(𝜥) (K);(MATHEMATICAL BOLD ITALIC CAPITAL KAPPA) (LATIN CAPITAL LETTER K)
1D75F;004B;(𝝟) (K);(MATHEMATICAL SANS-SERIF BOLD CAPITAL KAPPA) (LATIN CAPITAL LETTER K)
1D799;004B;(𝞙) (K);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL KAPPA) (LATIN CAPITAL LETTER K)
212A;004B;(K) (K);(KELVIN SIGN) (LATIN CAPITAL LETTER K)
24C0;004B;(Ⓚ) (K);(CIRCLED LATIN CAPITAL LETTER K) (LATIN CAPITAL LETTER K)
2C69;004B;(Ⱪ) (K);(LATIN CAPITAL LETTER K WITH DESCENDER) (LATIN CAPITAL LETTER K)
2C94;004B;(Ⲕ) (K);(COPTIC CAPITAL LETTER KAPA) (LATIN CAPITAL LETTER K)
3385;004B 0042;(㎅) (KB);(SQUARE KB) (LATIN CAPITAL LETTER K  LATIN CAPITAL LETTER B)
33CD;004B 004B;(㏍) (KK);(SQUARE KK) (LATIN CAPITAL LETTER K  LATIN CAPITAL LETTER K)
33CE;004B 004D;(㏎) (KM);(SQUARE KM CAPITAL) (LATIN CAPITAL LETTER K  LATIN CAPITAL LETTER M)
A4D7;004B;(ꓗ) (K);(LISU LETTER KA) (LATIN CAPITAL LETTER K)
FF2B;004B;(Ｋ) (K);(FULLWIDTH LATIN CAPITAL LETTER K) (LATIN CAPITAL LETTER K)
013F;004C;(Ŀ) (L);(LATIN CAPITAL LETTER L WITH MIDDLE DOT) (LATIN CAPITAL LETTER L)
0141;004C;(Ł) (L);(LATIN CAPITAL LETTER L WITH STROKE) (LATIN CAPITAL LETTER L)
0196;004C;(Ɩ) (L);(LATIN CAPITAL LETTER IOTA) (LATIN CAPITAL LETTER L)
01C7;004C 004A;(Ǉ) (LJ);(LATIN CAPITAL LETTER LJ) (LATIN CAPITAL LETTER L  LATIN CAPITAL LETTER J)
01C8;004C 006A;(ǈ) (Lj);(LATIN CAPITAL LETTER L WITH SMALL LETTER J) (LATIN CAPITAL LETTER L  LATIN SMALL LETTER J)
13DE;004C;(Ꮮ) (L);(CHEROKEE LETTER TLE) (LATIN CAPITAL LETTER L)
14AA;004C;(ᒪ) (L);(CANADIAN SYLLABICS MA) (LATIN CAPITAL LETTER L)
14B6;004C;(ᒶ) (L);(CANADIAN SYLLABICS MWA) (LATIN CAPITAL LETTER L)
14B7;004C;(ᒷ) (L);(CANADIAN SYLLABICS WEST-CREE MWA) (LATIN CAPITAL LETTER L)
1D38;004C;(ᴸ) (L);(MODIFIER LETTER CAPITAL L) (LATIN CAPITAL LETTER L)
1D40B;004C;(𝐋) (L);(MATHEMATICAL BOLD CAPITAL L) (LATIN CAPITAL LETTER L)
1D43F;004C;(𝐿) (L);(MATHEMATICAL ITALIC CAPITAL L) (LATIN CAPITAL LETTER L)
1D473;004C;(𝑳) (L);(MATHEMATICAL BOLD ITALIC CAPITAL L) (LATIN CAPITAL LETTER L)
1D4DB;004C;(𝓛) (L);(MATHEMATICAL BOLD SCRIPT CAPITAL L) (LATIN CAPITAL LETTER L)
1D50F;004C;(𝔏) (L);(MATHEMATICAL FRAKTUR CAPITAL L) (LATIN CAPITAL LETTER L)
1D543;004C;(𝕃) (L);(MATHEMATICAL DOUBLE-STRUCK CAPITAL L) (LATIN CAPITAL LETTER L)
1D577;004C;(𝕷) (L);(MATHEMATICAL BOLD FRAKTUR CAPITAL L) (LATIN CAPITAL LETTER L)
1D5AB;004C;(𝖫) (L);(MATHEMATICAL SANS-SERIF CAPITAL L) (LATIN CAPITAL LETTER L)
1D5DF;004C;(𝗟) (L);(MATHEMATICAL SANS-SERIF BOLD CAPITAL L) (LATIN CAPITAL LETTER L)
1D613;004C;(𝘓) (L);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL L) (LATIN CAPITAL LETTER L)
1D647;004C;(𝙇) (L);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL L) (LATIN CAPITAL LETTER L)
1D67B;004C;(𝙻) (L);(MATHEMATICAL MONOSPACE CAPITAL L) (LATIN CAPITAL LETTER L)
2112;004C;(ℒ) (L);(SCRIPT CAPITAL L) (LATIN CAPITAL LETTER L)
216C;004C;(Ⅼ) (L);(ROMAN NUMERAL FIFTY) (LATIN CAPITAL LETTER L)
24C1;004C;(Ⓛ) (L);(CIRCLED LATIN CAPITAL LETTER L) (LATIN CAPITAL LETTER L)
2CD0;004C;(Ⳑ) (L);(COPTIC CAPITAL LETTER L-SHAPED HA) (LATIN CAPITAL LETTER L)
32CF;004C 0054 0044;(㋏) (LTD);(LIMITED LIABILITY SIGN) (LATIN CAPITAL LETTER L  LATIN CAPITAL LETTER T  LATIN CAPITAL LETTER D)
A4E1;004C;(ꓡ) (L);(LISU LETTER LA) (LATIN CAPITAL LETTER L)
FF2C;004C;(Ｌ) (L);(FULLWIDTH LATIN CAPITAL LETTER L) (LATIN CAPITAL LETTER L)
039C;004D;(Μ) (M);(GREEK CAPITAL LETTER MU) (LATIN CAPITAL LETTER M)
03FA;004D;(Ϻ) (M);(GREEK CAPITAL LETTER SAN) (LATIN CAPITAL LETTER M)
041C;004D;(М) (M);(CYRILLIC CAPITAL LETTER EM) (LATIN CAPITAL LETTER M)
04CD;004D;(Ӎ) (M);(CYRILLIC CAPITAL LETTER EM WITH TAIL) (LATIN CAPITAL LETTER M)
13B7;004D;(Ꮇ) (M);(CHEROKEE LETTER LU) (LATIN CAPITAL LETTER M)
15F0;004D;(ᗰ) (M);(CANADIAN SYLLABICS CARRIER GO) (LATIN CAPITAL LETTER M)
1D39;004D;(ᴹ) (M);(MODIFIER LETTER CAPITAL M) (LATIN CAPITAL LETTER M)
1D40C;004D;(𝐌) (M);(MATHEMATICAL BOLD CAPITAL M) (LATIN CAPITAL LETTER M)
1D440;004D;(𝑀) (M);(MATHEMATICAL ITALIC CAPITAL M) (LATIN CAPITAL LETTER M)
1D474;004D;(𝑴) (M);(MATHEMATICAL BOLD ITALIC CAPITAL M) (LATIN CAPITAL LETTER M)
1D4DC;004D;(𝓜) (M);(MATHEMATICAL BOLD SCRIPT CAPITAL M) (LATIN CAPITAL LETTER M)
1D510;004D;(𝔐) (M);(MATHEMATICAL FRAKTUR CAPITAL M) (LATIN CAPITAL LETTER M)
1D544;004D;(𝕄) (M);(MATHEMATICAL DOUBLE-STRUCK CAPITAL M) (LATIN CAPITAL LETTER M)
1D578;004D;(𝕸) (M);(MATHEMATICAL BOLD FRAKTUR CAPITAL M) (LATIN CAPITAL LETTER M)
1D5AC;004D;(𝖬) (M);(MATHEMATICAL SANS-SERIF CAPITAL M) (LATIN CAPITAL LETTER M)
1D5E0;004D;(𝗠) (M);(MATHEMATICAL SANS-SERIF BOLD CAPITAL M) (LATIN CAPITAL LETTER M)
1D614;004D;(𝘔) (M);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL M) (LATIN CAPITAL LETTER M)
1D648;004D;(𝙈) (M);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL M) (LATIN CAPITAL LETTER M)
1D67C;004D;(𝙼) (M);(MATHEMATICAL MONOSPACE CAPITAL M) (LATIN CAPITAL LETTER M)
1D6B3;004D;(𝚳) (M);(MATHEMATICAL BOLD CAPITAL MU) (LATIN CAPITAL LETTER M)
1D6ED;004D;(𝛭) (M);(MATHEMATICAL ITALIC CAPITAL MU) (LATIN CAPITAL LETTER M)
1D727;004D;(𝜧) (M);(MATHEMATICAL BOLD ITALIC CAPITAL MU) (LATIN CAPITAL LETTER M)
1D761;004D;(𝝡) (M);(MATHEMATICAL SANS-SERIF BOLD CAPITAL MU) (LATIN CAPITAL LETTER M)
1D79B;004D;(𝞛) (M);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL MU) (LATIN CAPITAL LETTER M)
2133;004D;(ℳ) (M);(SCRIPT CAPITAL M) (LATIN CAPITAL LETTER M)
216F;004D;(Ⅿ) (M);(ROMAN NUMERAL ONE THOUSAND) (LATIN CAPITAL LETTER M)
24C2;004D;(Ⓜ) (M);(CIRCLED LATIN CAPITAL LETTER M) (LATIN CAPITAL LETTER M)
2C98;004D;(Ⲙ) (M);(COPTIC CAPITAL LETTER MI) (LATIN CAPITAL LETTER M)
3386;004D 0042;(㎆) (MB);(SQUARE MB) (LATIN CAPITAL LETTER M  LATIN CAPITAL LETTER B)
3392;004D 0048 007A;(㎒) (MHz);(SQUARE MHZ) (LATIN CAPITAL LETTER M  LATIN CAPITAL LETTER H  LATIN SMALL LETTER Z)
33AB;004D 0050 0061;(㎫) (MPa);(SQUARE MPA) (LATIN CAPITAL LETTER M  LATIN CAPITAL LETTER P  LATIN SMALL LETTER A)
33B9;004D 0056;(㎹) (MV);(SQUARE MV MEGA) (LATIN CAPITAL LETTER M  LATIN CAPITAL LETTER V)
33BF;004D 0057;(㎿) (MW);(SQUARE MW MEGA) (LATIN CAPITAL LETTER M  LATIN CAPITAL LETTER W)
A4DF;004D;(ꓟ) (M);(LISU LETTER MA) (LATIN CAPITAL LETTER M)
FF2D;004D;(Ｍ) (M);(FULLWIDTH LATIN CAPITAL LETTER M) (LATIN CAPITAL LETTER M)
019D;004E;(Ɲ) (N);(LATIN CAPITAL LETTER N WITH LEFT HOOK) (LATIN CAPITAL LETTER N)
01CA;004E 004A;(Ǌ) (NJ);(LATIN CAPITAL LETTER NJ) (LATIN CAPITAL LETTER N  LATIN CAPITAL LETTER J)
01CB;004E 006A;(ǋ) (Nj);(LATIN CAPITAL LETTER N WITH SMALL LETTER J) (LATIN CAPITAL LETTER N  LATIN SMALL LETTER J)
0220;004E;(Ƞ) (N);(LATIN CAPITAL LETTER N WITH LONG RIGHT LEG) (LATIN CAPITAL LETTER N)
039D;004E;(Ν) (N);(GREEK CAPITAL LETTER NU) (LATIN CAPITAL LETTER N)
1D3A;004E;(ᴺ) (N);(MODIFIER LETTER CAPITAL N) (LATIN CAPITAL LETTER N)
1D3B;004E;(ᴻ) (N);(MODIFIER LETTER CAPITAL REVERSED N) (LATIN CAPITAL LETTER N)
1D40D;004E;(𝐍) (N);(MATHEMATICAL BOLD CAPITAL N) (LATIN CAPITAL LETTER N)
1D441;004E;(𝑁) (N);(MATHEMATICAL ITALIC CAPITAL N) (LATIN CAPITAL LETTER N)
